,question,topic1,topic2,categories1,categories2
10,10,Experimental jargon,CP violation bis,"['Electromagnetic corrections to strong- and weak-interaction processes', 'Baryons', 'Ordinary neutrinos', 'Solar neutrinos', 'Decays of K mesons']","['Flavor symmetries', 'Neutral currents', 'Charge conjugation, parity, time reversal, and other discrete symmetries', 'Decays of bottom mesons', 'Decays of bottom mesons']"
11,11,Measurements and results from colliders,,"['Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Baryon resonances (S=C=B=0)', 'Neutrino-induced reactions', 'Meson production', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors']","['Hadronic decays', 'Pion-baryon interactions', 'Decays of charmed mesons', 'Decays of charmed mesons', 'Muons']"
12,12,Measurements and results from colliders,Higgs beyond the SM,"['Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Baryon resonances (S=C=B=0)', 'Pion-baryon interactions', 'Decays of charmed mesons', 'Meson production']","['Supersymmetric Higgs bosons', 'Extensions of electroweak gauge sector', 'Other neutral Higgs bosons', 'Electroweak radiative corrections', 'Standard-model Higgs bosons']"
13,13,Superfields,QCD calculation techniques,"['Integrable systems', 'Algebraic methods', 'M theory', 'Conformal field theory, algebraic structures', 'Supersymmetry']","['Lattice gauge theory', 'General properties of QCD (dynamics, confinement, etc.)', 'Other nonperturbative techniques', 'Gluons', 'Other nonperturbative calculations']"
14,14,Gauge symmetries/symmetry breaking/GUTs,,"['Spontaneous and radiative symmetry breaking', 'Unified theories and models of strong and electroweak interactions', 'Unified field theories and models', 'Other internal and higher symmetries', 'Unification of couplings; mass relations']","['Flavor symmetries', 'Extensions of electroweak gauge sector', 'Spontaneous breaking of gauge symmetries', 'Technicolor models', 'Composite models']"
15,15,Amplitude of processes in colliders,Amplitudes and Feynman Diagram,"['Hadronic decays', 'Dispersion relations', 'Nucleon-nucleon interactions', 'Exotic mesons', 'Decays of other mesons']","['General properties of perturbation theory', 'Specific calculations', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Regge theory, duality, absorptive/optical models', 'Conformal field theory, algebraic structures']"
16,16,Supergravity,Neutrino physics,"['Compactification and four-dimensional models', 'Nonperturbative techniques; string field theory', 'Geometry, differential geometry, and topology', 'Strings and branes', 'String and brane phenomenology']","['Quark and lepton masses and mixing', 'Neutrino interactions', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Global symmetries (e.g., baryon number, lepton number)', 'Neutrino mass and mixing']"
17,17,Mesons resonances,,"['Decays of J/ψ, Υ, and other quarkonia', 'Decays of charmed mesons', 'Heavy quarkonia', 'Charmed mesons (|C|>0, B=0)', 'Electromagnetic decays']","['Exotic mesons', 'Meson-meson interactions', 'Mesons with S=C=B=0, mass > 2.5 GeV (including quarkonia)', 'Decays of J/ψ, Υ, and other quarkonia', 'Hadron production in e−e+ interactions']"
18,18,Quantum Systems and Equations of motion,Lattice calculation techniques,"['Canonical formalism, Lagrangians, and variational principles', 'Canonical quantization', 'Algebraic methods', 'Lagrangian and Hamiltonian approach', 'Nonlinear or nonlocal theories and models']","['Properties of perturbation theory', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Lattice QCD calculations', 'General properties of perturbation theory', 'Lattice theory and statistics']"
19,19,Supersymmetric gauge theories,Chern–Simons,"['Nonperturbative techniques; string field theory', 'Strings and branes', 'Compactification and four-dimensional models', 'Gauge field theories', 'Properties of perturbation theory']","['Canonical formalism, Lagrangians, and variational principles', 'Other internal and higher symmetries', 'Other nonperturbative techniques', 'Noncommutative geometry', 'Noncommutative field theory']"
20,20,Form factors,Theoretical jargon,"['Protons and neutrons', 'pi, K, and eta mesons', 'Baryon production', 'Electromagnetic form factors', 'Light mesons (S=C=B=0)']","['Solutions of wave equations: bound states', 'Phenomenology of quantum gravity', 'Algebraic methods', 'Theory of quantized fields', 'Quantum mechanics']"
21,21,Cosmology and gravity,Theoretical jargon,"['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Origin and formation of the Universe', 'Dark energy', 'Quantum cosmology', 'Mathematical and relativistic aspects of cosmology']","['Algebraic methods', 'Fundamental problems and general formalism', 'Quantum mechanics', 'Nonlinear or nonlocal theories and models', 'Theory of quantized fields']"
22,22,States of matter,,"['Lattice theory and statistics', 'Chiral symmetries', 'Classical black holes', 'Quark-gluon plasma', 'Finite-temperature field theory']","['Gauge/string duality', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Quark matter', 'Entanglement and quantum nonlocality', 'Higher-dimensional black holes, black strings, and related objects']"
23,23,Thermodynamics,Lepton/Meson decay,"['Lattice gauge theory', 'Relativistic heavy-ion collisions', 'Quark-gluon plasma', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Quark matter']","['Decays of taus', 'Decays of K mesons', 'Decays of bottom mesons', 'Decays of charmed mesons', 'Decays of charmed mesons']"
24,24,Perturbative QCD,Lie algebra,"['General properties of perturbation theory', 'Quantum chromodynamics', 'Production', 'Renormalization group evolution of parameters', 'Sum rules']","['Noncommutative geometry', 'Conformal field theory, algebraic structures', 'Integrable systems', 'Noncommutative field theory', 'Loop quantum gravity, quantum geometry, spin foams']"
25,25,Conformal Field Theory,Topology,"['Integrable systems', 'Lattice theory and statistics', 'M theory', 'Geometry, differential geometry, and topology', 'Nonperturbative techniques; string field theory']","['Noncommutative field theory', 'D branes', 'String and brane phenomenology', 'Strings and branes', 'Compactification and four-dimensional models']"
26,26,Loops and next order expansions in Feynman Diagrams,Phenomenological jargon ,"['Perturbative calculations', 'Summation of perturbation theory', 'Renormalization', 'Specific calculations', 'Quantum electrodynamics']","['Potential models', 'Exotic mesons', 'Experimental tests of gravitational theories', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Loop quantum gravity, quantum geometry, spin foams']"
27,27,Lepton/Meson decay,Search for BSM physics,"['Bottom mesons (|B|>0)', 'Decays of taus', 'Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Decays of K mesons']","['Limits on production of particles', 'Neutral currents', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Muons', 'Other gauge bosons']"
28,28,Events in colliders (kinematics),Conformal Field Theory,"['W bosons', 'Top quarks', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Limits on production of particles', 'Z bosons']","['Conformal field theory, algebraic structures', 'Noncommutative geometry', 'Strings and branes', 'Algebraic methods', 'Geometry, differential geometry, and topology']"
29,29,Cosmology and gravity,,"['Lorentz and Poincaré invariance', 'Loop quantum gravity, quantum geometry, spin foams', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Modified theories of gravity', 'Quantum cosmology']","['Dark energy', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Cosmology', 'Origin and formation of the Universe', 'Mathematical and relativistic aspects of cosmology']"
30,30,Cross-sections in colliders,Meson phenomenology,"['Inelastic scattering: many-particle final states', 'Particle and resonance production', 'Production', 'Particle correlations and fluctuations', 'Hadron-induced high- and super-high-energy interactions']","['Decays of other mesons', 'Light mesons (S=C=B=0)', 'Pion-baryon interactions', 'Potential models', 'Exotic mesons']"
31,31,Double-beta decay?,,"['Baryons', 'Neutrino mass and mixing', 'Glueball and nonstandard multi-quark/gluon states', 'Bottom baryons (|B|>0)', 'Quark and lepton masses and mixing']","['Hyperons', 'Global symmetries (e.g., baryon number, lepton number)', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Charmed baryons (|C|>0, B=0)', 'Hadron mass models and calculations']"
32,32,Phenomenological jargon ,CP violation bis,"['Exotic mesons', 'Glueball and nonstandard multi-quark/gluon states', 'Potential models', 'Loop quantum gravity, quantum geometry, spin foams', 'Phenomenological quark models']","['Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Neutral currents', 'Decays of charmed mesons', 'Decays of bottom mesons', 'Ordinary neutrinos']"
33,33,Higgs beyond the SM,,"['Non-standard-model Higgs bosons', 'Extensions of electroweak Higgs sector', 'Supersymmetric Higgs bosons', 'Standard-model Higgs bosons', 'Supersymmetric partners of known particles']","['Supersymmetric models', 'Electroweak radiative corrections', 'Extensions of electroweak gauge sector', 'Limits on production of particles', 'Other neutral Higgs bosons']"
34,34,Top quark,,"['Decays of taus', 'Limits on production of particles', 'Standard-model Higgs bosons', 'Other neutral Higgs bosons', 'Other gauge bosons']","['Top quarks', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Extensions of electroweak gauge sector', 'Neutral currents', 'Non-standard-model Higgs bosons']"
35,35,Boundary conditions,,"['Canonical formalism, Lagrangians, and variational principles', 'Foundations of quantum mechanics; measurement theory', 'Theory of quantized fields', 'Lattice theory and statistics', 'Integrable systems']","['Quantum mechanics', 'Algebraic methods', 'Conformal field theory, algebraic structures', 'Entanglement and quantum nonlocality', 'Spacetime topology, causal structure, spinor structure']"
36,36,Supersymmetric gauge theories,,"['D branes', 'Gauge/string duality', 'Strings and branes', 'Supergravity', 'M theory']","['Nonperturbative techniques; string field theory', 'Supersymmetry', 'Gauge field theories', 'Properties of perturbation theory', 'Compactification and four-dimensional models']"
37,37,Dark matter direct detection and WIMPs,,"['Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Dark energy', 'Dark matter', 'Background radiations', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)']","['Elementary particle processes', 'Other particles (including hypothetical)', 'Other gauge bosons', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Supersymmetric partners of known particles']"
38,38,Scattering of composite particles,,"['Elastic and Compton scattering', 'Photon and charged-lepton interactions with hadrons', 'Inelastic scattering: many-particle final states', 'Polarization in interactions and scattering', 'Regge theory, duality, absorptive/optical models']","['Total and inclusive cross sections (including deep-inelastic processes)', 'Protons and neutrons', 'Inclusive production with identified hadrons', 'Fragmentation into hadrons', 'Meson production']"
39,39,Thermodynamics,,"['Quark-gluon plasma', 'Finite-temperature field theory', 'Quark matter', 'Chiral symmetries', 'General properties of QCD (dynamics, confinement, etc.)']","['Lattice gauge theory', 'Other models for strong interactions', 'Spontaneous and radiative symmetry breaking', 'Relativistic heavy-ion collisions', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']"
40,40,Gauge symmetries/symmetry breaking/GUTs,,"['Spontaneous and radiative symmetry breaking', 'Other internal and higher symmetries', 'Technicolor models', 'Composite models', 'Unified theories and models of strong and electroweak interactions']","['Flavor symmetries', 'Unified field theories and models', 'Unification of couplings; mass relations', 'Extensions of electroweak gauge sector', 'Spontaneous breaking of gauge symmetries']"
41,41,Theoretical jargon,,"['Theory of quantized fields', 'Quantum mechanics', 'Geometry, differential geometry, and topology', 'Algebraic methods', 'Solutions of wave equations: bound states']","['Integrable systems', 'Nonlinear or nonlocal theories and models', 'Foundations of quantum mechanics; measurement theory', 'Fundamental problems and general formalism', 'Phenomenology of quantum gravity']"
42,42,Systems energy and time-evolution,,"['Foundations of quantum mechanics; measurement theory', 'Quark-gluon plasma', 'Hydrodynamic models', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Theory of quantized fields']","['Experimental tests of gravitational theories', 'Entanglement and quantum nonlocality', 'Finite-temperature field theory', 'Relativistic heavy-ion collisions', 'Collective flow']"
43,43,Topology,Partons distributions,"['String and brane phenomenology', 'Noncommutative field theory', 'Compactification and four-dimensional models', 'M theory', 'Noncommutative geometry']","['Total and inclusive cross sections (including deep-inelastic processes)', 'Production', 'Factorization', 'Polarization in interactions and scattering', 'Photon and charged-lepton interactions with hadrons']"
44,44,Holographic Principle,,"['Nonperturbative techniques; string field theory', 'Lattice theory and statistics', 'Lower dimensional models; minisuperspace models', 'Conformal field theory, algebraic structures', 'Gauge/string duality']","['Quantum aspects of black holes, evaporation, thermodynamics', 'Entanglement and quantum nonlocality', 'Higher-dimensional black holes, black strings, and related objects', 'Strings and branes', 'D branes']"
45,45,Conformal Field Theory,,"['Geometry, differential geometry, and topology', 'Nonperturbative techniques; string field theory', 'Algebraic methods', 'Noncommutative geometry', 'Canonical quantization']","['Integrable systems', 'Conformal field theory, algebraic structures', 'Lattice theory and statistics', 'M theory', 'Strings and branes']"
46,46,Partons distributions,,"['Photon and charged-lepton interactions with hadrons', 'Polarization in interactions and scattering', 'Inclusive production with identified hadrons', 'Jets in large-Q2 scattering', 'Total and inclusive cross sections (including deep-inelastic processes)']","['Fragmentation into hadrons', 'Production', 'Summation of perturbation theory', 'Perturbative calculations', 'Factorization']"
47,47,Form factors,Measurements and analysis of colliders data,"['Protons and neutrons', 'Light mesons (S=C=B=0)', 'Hyperons', 'Dispersion relations', 'Sum rules']","['Solar neutrinos', 'Ordinary neutrinos', 'Decays of bottom mesons', 'Decays of charmed mesons', 'Decays of charmed mesons']"
48,48,QCD,Holographic Principle,"['Glueball and nonstandard multi-quark/gluon states', 'Sum rules', 'Hydrodynamic models', 'Charmed baryons (|C|>0, B=0)', 'Heavy quark effective theory']","['D branes', 'Nonperturbative techniques; string field theory', 'Gauge/string duality', 'Lower dimensional models; minisuperspace models', 'Strings and branes']"
49,49,Events in colliders (kinematics),Meson phenomenology,"['Production', 'Inclusive production with identified hadrons', 'Z bosons', 'Jets in large-Q2 scattering', 'Limits on production of particles']","['Light mesons (S=C=B=0)', 'Glueball and nonstandard multi-quark/gluon states', 'Mesons', 'Hadron mass models and calculations', 'Pion-baryon interactions']"
