,question,topic1,topic2,categories1,categories2
12,12,Theoretical jargon,,"['Integrable systems', 'Algebraic methods', 'Fundamental problems and general formalism', 'Quantum mechanics', 'Nonlinear or nonlocal theories and models']","['Foundations of quantum mechanics; measurement theory', 'Solutions of wave equations: bound states', 'Geometry, differential geometry, and topology', 'Phenomenology of quantum gravity', 'Theory of quantized fields']"
13,13,Annihilation and scattering cross-sections,,"['Baryon resonances (S=C=B=0)', 'Meson production', 'Total cross sections', 'Photon and charged-lepton interactions with hadrons', 'Elastic and Compton scattering']","['Baryon production', 'Regge theory, duality, absorptive/optical models', 'Hadron production in e−e+ interactions', 'Nucleon-nucleon interactions', 'Electromagnetic processes and properties']"
14,14,Search for BSM physics,,"['Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Decays of taus', 'Models beyond the standard model', 'Limits on production of particles']","['Decays of K mesons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Other gauge bosons', 'Muons', 'Neutral currents']"
15,15,Phenomenological jargon ,,"['Exotic mesons', 'Phenomenological quark models', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Potential models', 'Experimental tests of gravitational theories']","['Phenomenology of quantum gravity', 'Foundations of quantum mechanics; measurement theory', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Loop quantum gravity, quantum geometry, spin foams', 'Glueball and nonstandard multi-quark/gluon states']"
16,16,Phenomenological jargon ,,"['Glueball and nonstandard multi-quark/gluon states', 'Phenomenological quark models', 'Experimental tests of gravitational theories', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Foundations of quantum mechanics; measurement theory']","['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Exotic mesons', 'Phenomenology of quantum gravity', 'Loop quantum gravity, quantum geometry, spin foams', 'Potential models']"
17,17,Inflation,Thermodynamics,"['Mathematical and relativistic aspects of cosmology', 'Quantum cosmology', 'Background radiations', 'Phenomenology of quantum gravity', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)']","['Quark matter', 'Other models for strong interactions', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Quark-gluon plasma', 'Chiral symmetries']"
18,18,Form factors,Theoretical jargon,"['Baryon production', 'Baryon resonances (S=C=B=0)', 'Protons and neutrons', 'pi, K, and eta mesons', 'Dispersion relations']","['Algebraic methods', 'Fundamental problems and general formalism', 'Phenomenology of quantum gravity', 'Integrable systems', 'Solutions of wave equations: bound states']"
19,19,Particles properties,,"['Extensions of electroweak gauge sector', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Global symmetries (e.g., baryon number, lepton number)', 'Quark and lepton masses and mixing', 'Decays of taus']","['Neutrino mass and mixing', 'Models beyond the standard model', 'Flavor symmetries', 'Unified theories and models of strong and electroweak interactions', 'Unification of couplings; mass relations']"
20,20,Quantum Field Theory,M-theory,"['Algebraic methods', 'Quantum mechanics', 'Theory of quantized fields', 'Relativistic wave equations', 'Integrable systems']","['Supersymmetry', 'Supergravity', 'Gauge field theories', 'Properties of perturbation theory', 'Geometry, differential geometry, and topology']"
21,21,Annihilation and scattering cross-sections,,"['Total cross sections', 'Photon and charged-lepton interactions with hadrons', 'Regge theory, duality, absorptive/optical models', 'Meson production', 'Electromagnetic processes and properties']","['Elastic and Compton scattering', 'Baryon resonances (S=C=B=0)', 'Hadron production in e−e+ interactions', 'Nucleon-nucleon interactions', 'Baryon production']"
22,22,Top quark,,"['Limits on production of particles', 'Non-standard-model Higgs bosons', 'Extensions of electroweak gauge sector', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Decays of taus']","['Other neutral Higgs bosons', 'Other gauge bosons', 'Standard-model Higgs bosons', 'Top quarks', 'Neutral currents']"
23,23,Lepton/Meson decay,,"['Bottom mesons (|B|>0)', 'Decays of bottom mesons', 'Decays of charmed mesons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of taus']","['Decays of bottom mesons', 'Decays of charmed mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Decays of K mesons', 'Leptonic, semileptonic, and radiative decays']"
24,24,Gauge Theory,,"['Noncommutative field theory', 'General properties of perturbation theory', 'Lorentz and Poincaré invariance', 'Geometry, differential geometry, and topology', 'Canonical formalism, Lagrangians, and variational principles']","['Other internal and higher symmetries', 'Canonical quantization', 'Gauge field theories', 'Symmetry and conservation laws', 'Lagrangian and Hamiltonian approach']"
25,25,Higgs beyond the SM,Stars physics,"['Limits on production of particles', 'Supersymmetric models', 'Standard-model Higgs bosons', 'Supersymmetric Higgs bosons', 'Other neutral Higgs bosons']","['Quarks, gluons, and QCD in nuclear reactions', 'Quark matter', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions', 'Quark-gluon plasma']"
26,26,Theoretical jargon,,"['Foundations of quantum mechanics; measurement theory', 'Solutions of wave equations: bound states', 'Theory of quantized fields', 'Quantum mechanics', 'Geometry, differential geometry, and topology']","['Nonlinear or nonlocal theories and models', 'Fundamental problems and general formalism', 'Integrable systems', 'Algebraic methods', 'Phenomenology of quantum gravity']"
27,27,Theoretical jargon,Perturbative QCD,"['Algebraic methods', 'Quantum mechanics', 'Solutions of wave equations: bound states', 'Theory of quantized fields', 'Foundations of quantum mechanics; measurement theory']","['Fragmentation into hadrons', 'Production', 'General properties of perturbation theory', 'Factorization', 'Renormalization group evolution of parameters']"
28,28,Cross-sections in colliders,,"['Production', 'Inelastic scattering: many-particle final states', 'Particle and resonance production', 'Hadron-induced high- and super-high-energy interactions', 'Inclusive production with identified hadrons']","['Particle correlations and fluctuations', 'Jets in large-Q2 scattering', 'Z bosons', 'Total cross sections', 'Inclusive production with identified leptons, photons, or other nonhadronic particles']"
29,29,Topology,Cosmology and gravity,"['Nonperturbative techniques; string field theory', 'D branes', 'Geometry, differential geometry, and topology', 'Strings and branes', 'Noncommutative geometry']","['Modified theories of gravity', 'Mathematical and relativistic aspects of cosmology', 'Dark energy', 'Lorentz and Poincaré invariance', 'Cosmology']"
30,30,Experimental jargon,,"['Ordinary neutrinos', 'Nucleon-nucleon interactions', 'Neutrino-induced reactions', 'Electromagnetic corrections to strong- and weak-interaction processes', 'Baryons']","['Inelastic scattering: many-particle final states', 'Summation of perturbation theory', 'Electroweak radiative corrections', 'Solar neutrinos', 'Decays of K mesons']"
31,31,Higgs boson,,"['Supersymmetric Higgs bosons', 'Extensions of electroweak Higgs sector', 'Limits on production of particles', 'Other gauge bosons', 'Other neutral Higgs bosons']","['Supersymmetric models', 'Standard-model Higgs bosons', 'Unification of couplings; mass relations', 'Extensions of electroweak gauge sector', 'Non-standard-model Higgs bosons']"
32,32,Lattice calculation techniques,cp violation,"['Lattice QCD calculations', 'Properties of perturbation theory', 'General properties of perturbation theory', 'Algebraic methods', 'Renormalization']","['Neutral currents', 'Global symmetries (e.g., baryon number, lepton number)', 'Flavor symmetries', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of K mesons']"
33,33,Matter in SU gauge symmetries,,"['Spontaneous and radiative symmetry breaking', 'Spontaneous breaking of gauge symmetries', 'Lattice gauge theory', 'Flavor symmetries', 'Extensions of electroweak gauge sector']","['Chiral symmetries', 'Unified theories and models of strong and electroweak interactions', 'Composite models', 'Unification of couplings; mass relations', 'Technicolor models']"
34,34,Conformal Field Theory,,"['Geometry, differential geometry, and topology', 'Integrable systems', 'Canonical quantization', 'Conformal field theory, algebraic structures', 'M theory']","['Strings and branes', 'Algebraic methods', 'Nonperturbative techniques; string field theory', 'Lattice theory and statistics', 'Noncommutative geometry']"
35,35,Supersymmetric gauge theories,,"['Strings and branes', 'Nonperturbative techniques; string field theory', 'Gauge/string duality', 'Compactification and four-dimensional models', 'M theory']","['Supergravity', 'Properties of perturbation theory', 'Supersymmetry', 'Gauge field theories', 'D branes']"
36,36,Experimental jargon,Events in colliders (final states),"['Solar neutrinos', 'Electroweak radiative corrections', 'Neutrino-induced reactions', 'Summation of perturbation theory', 'Ordinary neutrinos']","['Inelastic scattering: many-particle final states', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Hadron-induced high- and super-high-energy interactions', 'Experimental tests', 'Production']"
37,37,Perturbative QCD,,"['Renormalization group evolution of parameters', 'Summation of perturbation theory', 'Factorization', 'Quantum chromodynamics', 'Sum rules']","['Fragmentation into hadrons', 'Perturbative calculations', 'General properties of perturbation theory', 'Production', 'Heavy quark effective theory']"
38,38,Electromagnetism,Particles properties,"['Quantum electrodynamics', 'Electric and magnetic moments', 'Quark-gluon plasma', 'Specific calculations', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']","['Neutrino mass and mixing', 'Unification of couplings; mass relations', 'Global symmetries (e.g., baryon number, lepton number)', 'Flavor symmetries', 'Extensions of electroweak gauge sector']"
39,39,Supergravity,Lattice calculation techniques,"['Supersymmetry', 'Supergravity', 'M theory', 'Compactification and four-dimensional models', 'String and brane phenomenology']","['Properties of perturbation theory', 'Lattice theory and statistics', 'Lattice QCD calculations', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Algebraic methods']"
40,40,Perturbative QCD,,"['Quantum chromodynamics', 'Fragmentation into hadrons', 'Heavy quark effective theory', 'Sum rules', 'Factorization']","['Perturbative calculations', 'Renormalization group evolution of parameters', 'General properties of perturbation theory', 'Production', 'Summation of perturbation theory']"
41,41,Chern–Simons,Measurements and analysis of colliders data,"['Magnetic monopoles', 'Lagrangian and Hamiltonian approach', 'Other nonperturbative techniques', 'Canonical formalism, Lagrangians, and variational principles', 'Geometry, differential geometry, and topology']","['Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Decays of charmed mesons', 'Muons', 'Bottom mesons (|B|>0)', 'Ordinary neutrinos']"
42,42,Cosmological sources,,"['Origin and formation of the Universe', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Dark energy', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Background radiations']","['Phenomenology of quantum gravity', 'Cosmology', 'Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)', 'Quantum cosmology', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors']"
43,43,Phenomenological jargon ,Amplitude of processes in colliders,"['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Exotic mesons', 'Loop quantum gravity, quantum geometry, spin foams', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Potential models']","['Decays of other mesons', 'Dispersion relations', 'Hadronic decays', 'Meson-meson interactions', 'Meson production']"
44,44,CP violation bis,Space-time geometry and gravity,"['Bottom mesons (|B|>0)', 'Flavor symmetries', 'Decays of bottom mesons', 'Decays of K mesons', 'Decays of charmed mesons']","['Higher-dimensional gravity and other theories of gravity', 'Lower dimensional models; minisuperspace models', 'Classical black holes', 'Fundamental problems and general formalism', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity']"
45,45,QCD calculation techniques,,"['General properties of QCD (dynamics, confinement, etc.)', 'Finite-temperature field theory', 'Gluons', 'Renormalization', 'Expansions for large numbers of components (e.g., 1/Nc expansions)']","['General properties of perturbation theory', 'Lattice gauge theory', 'Lattice QCD calculations', 'Other nonperturbative techniques', 'Other nonperturbative calculations']"
46,46,Dark matter in the universe,Gravitons and extra-dimensions,"['Elementary particle processes', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Cosmology', 'Dark matter']","['Modified theories of gravity', 'String and brane phenomenology', 'Quantum gravity', 'Dark energy', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity']"
47,47,Particles properties,Phenomenological jargon ,"['Extensions of electroweak gauge sector', 'Quark and lepton masses and mixing', 'Unification of couplings; mass relations', 'Models beyond the standard model', 'Flavor symmetries']","['Phenomenological quark models', 'Loop quantum gravity, quantum geometry, spin foams', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Phenomenology of quantum gravity', 'Foundations of quantum mechanics; measurement theory']"
48,48,Gauge symmetries/symmetry breaking/GUTs,,"['Other internal and higher symmetries', 'Unification of couplings; mass relations', 'Spontaneous breaking of gauge symmetries', 'Unified theories and models of strong and electroweak interactions', 'Composite models']","['Unified field theories and models', 'Technicolor models', 'Extensions of electroweak gauge sector', 'Flavor symmetries', 'Spontaneous and radiative symmetry breaking']"
49,49,Gauge Theory,,"['Canonical formalism, Lagrangians, and variational principles', 'Gauge field theories', 'Noncommutative field theory', 'Lagrangian and Hamiltonian approach', 'Geometry, differential geometry, and topology']","['General properties of perturbation theory', 'Canonical quantization', 'Symmetry and conservation laws', 'Other internal and higher symmetries', 'Lorentz and Poincaré invariance']"
