,question,topic1,topic2,categories1,categories2
11,11,Gauge Theory,Quantum Systems and Equations of motion,"['Lorentz and Poincaré invariance', 'Geometry, differential geometry, and topology', 'Canonical quantization', 'Symmetry and conservation laws', 'General properties of perturbation theory']","['Quantum mechanics', 'Lagrangian and Hamiltonian approach', 'Algebraic methods', 'Relativistic wave equations', 'Solutions of wave equations: bound states']"
12,12,Amplitudes and Feynman Diagram,Renormalization,"['Dispersion relations', 'Analytic properties of S matrix', 'Specific calculations', 'Regge theory, duality, absorptive/optical models', 'Lattice theory and statistics']","['Quantum gravity', 'Collective flow', 'General properties of perturbation theory', 'Renormalization', 'Other nonperturbative techniques']"
13,13,Perturbative QCD,,"['General properties of perturbation theory', 'Renormalization group evolution of parameters', 'Summation of perturbation theory', 'Sum rules', 'Production']","['Fragmentation into hadrons', 'Quantum chromodynamics', 'Factorization', 'Perturbative calculations', 'Heavy quark effective theory']"
14,14,Amplitude of processes in colliders,,"['Decays of other mesons', 'Pion-baryon interactions', 'Hyperons', 'Exotic mesons', 'Dispersion relations']","['Baryon resonances (S=C=B=0)', 'Meson-meson interactions', 'Nucleon-nucleon interactions', 'Hadronic decays', 'Meson production']"
15,15,Double-beta decay?,Systems energy and time-evolution,"['Bottom baryons (|B|>0)', 'Hadron mass models and calculations', 'Quark and lepton masses and mixing', 'Baryons', 'Glueball and nonstandard multi-quark/gluon states']","['Collective flow', 'Entanglement and quantum nonlocality', 'Theory of quantized fields', 'Foundations of quantum mechanics; measurement theory', 'Relativistic heavy-ion collisions']"
16,16,Experimental jargon,,"['Electroweak radiative corrections', 'Ordinary neutrinos', 'Solar neutrinos', 'Inelastic scattering: many-particle final states', 'Nucleon-nucleon interactions']","['Baryons', 'Decays of K mesons', 'Electromagnetic corrections to strong- and weak-interaction processes', 'Neutrino-induced reactions', 'Summation of perturbation theory']"
17,17,Junk(decay/search/data/limit/gamma/collider),,"['Decays of J/ψ, Υ, and other quarkonia', 'Bottom mesons (|B|>0)', 'Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Muons']","['Limits on production of particles', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of J/ψ, Υ, and other quarkonia', 'Decays of taus', 'Electromagnetic decays']"
18,18,QCD calculation techniques,Amplitude of processes in colliders,"['Other nonperturbative calculations', 'Lattice gauge theory', 'Lattice QCD calculations', 'Renormalization', 'Expansions for large numbers of components (e.g., 1/Nc expansions)']","['Baryon resonances (S=C=B=0)', 'Meson production', 'Meson-meson interactions', 'Dispersion relations', 'Exotic mesons']"
19,19,Holographic Principle,,"['Lower dimensional models; minisuperspace models', 'Quantum aspects of black holes, evaporation, thermodynamics', 'Entanglement and quantum nonlocality', 'Gauge/string duality', 'Higher-dimensional black holes, black strings, and related objects']","['Conformal field theory, algebraic structures', 'D branes', 'Nonperturbative techniques; string field theory', 'Lattice theory and statistics', 'Strings and branes']"
20,20,Spin/angular momentum/polarization,,"['Elastic and Compton scattering', 'Fragmentation into hadrons', 'Meson production', 'Inclusive production with identified hadrons', 'Photon and charged-lepton interactions with hadrons']","['Polarization in interactions and scattering', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Baryon production', 'Protons and neutrons', 'Electromagnetic processes and properties']"
21,21,Algorithms and calculation techniques,,"['Particle correlations and fluctuations', 'Collective flow', 'Lattice theory and statistics', 'Fragmentation into hadrons', 'Gluons']","['Lattice gauge theory', 'Inelastic scattering: many-particle final states', 'Lattice QCD calculations', 'Light quarks', 'Jets in large-Q2 scattering']"
22,22,Particles properties,,"['Global symmetries (e.g., baryon number, lepton number)', 'Unification of couplings; mass relations', 'Models beyond the standard model', 'Flavor symmetries', 'Unified theories and models of strong and electroweak interactions']","['Decays of taus', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Neutrino mass and mixing', 'Extensions of electroweak gauge sector', 'Quark and lepton masses and mixing']"
23,23,Gauge symmetries/symmetry breaking/GUTs,,"['Technicolor models', 'Spontaneous breaking of gauge symmetries', 'Spontaneous and radiative symmetry breaking', 'Unification of couplings; mass relations', 'Extensions of electroweak gauge sector']","['Unified field theories and models', 'Composite models', 'Flavor symmetries', 'Unified theories and models of strong and electroweak interactions', 'Other internal and higher symmetries']"
24,24,Lie algebra,,"['Noncommutative field theory', 'Loop quantum gravity, quantum geometry, spin foams', 'Conformal field theory, algebraic structures', 'Noncommutative geometry', 'Algebraic methods']","['Integrable systems', 'Geometry, differential geometry, and topology', 'Quantum mechanics', 'Other internal and higher symmetries', 'Lattice theory and statistics']"
25,25,Space-time geometry and gravity,Perturbative QCD,"['Higher-dimensional black holes, black strings, and related objects', 'Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields', 'Classical black holes', 'Spacetime topology, causal structure, spinor structure', 'Fundamental problems and general formalism']","['Perturbative calculations', 'Renormalization group evolution of parameters', 'Heavy quark effective theory', 'Fragmentation into hadrons', 'Production']"
26,26,Form factors,,"['pi, K, and eta mesons', 'Relativistic quark model', 'Dispersion relations', 'Hyperons', 'Protons and neutrons']","['Baryon production', 'Electromagnetic form factors', 'Sum rules', 'Baryon resonances (S=C=B=0)', 'Light mesons (S=C=B=0)']"
27,27,Electromagnetism,,"['Specific calculations', 'Quark-gluon plasma', 'Relativistic wave equations', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions']","['Collective flow', 'Electric and magnetic moments', 'Quantum electrodynamics', 'Hydrodynamic models', 'Particle correlations and fluctuations']"
28,28,M-theory,,"['Gauge field theories', 'Geometry, differential geometry, and topology', 'Supersymmetry', 'Compactification and four-dimensional models', 'Properties of perturbation theory']","['Nonperturbative techniques; string field theory', 'Strings and branes', 'D branes', 'M theory', 'Supergravity']"
29,29,Particles properties,,"['Unified theories and models of strong and electroweak interactions', 'Decays of taus', 'Unification of couplings; mass relations', 'Quark and lepton masses and mixing', 'Neutrino mass and mixing']","['Flavor symmetries', 'Models beyond the standard model', 'Global symmetries (e.g., baryon number, lepton number)', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Extensions of electroweak gauge sector']"
30,30,QCD,Theoretical jargon,"['Hydrodynamic models', 'Electromagnetic decays', 'Other mesons with S=C=0, mass < 2.5 GeV', 'Bottom baryons (|B|>0)', 'Heavy quark effective theory']","['Geometry, differential geometry, and topology', 'Foundations of quantum mechanics; measurement theory', 'Quantum mechanics', 'Nonlinear or nonlocal theories and models', 'Solutions of wave equations: bound states']"
31,31,Measurements and analysis of colliders data,,"['Decays of J/ψ, Υ, and other quarkonia', 'Decays of charmed mesons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of bottom mesons']","['Solar neutrinos', 'Muons', 'Decays of charmed mesons', 'Ordinary neutrinos', 'Bottom mesons (|B|>0)']"
32,32,Annihilation and scattering cross-sections,Thermodynamics,"['Photon and charged-lepton interactions with hadrons', 'Meson production', 'Electromagnetic processes and properties', 'Baryon production', 'Total cross sections']","['Relativistic heavy-ion collisions', 'Spontaneous and radiative symmetry breaking', 'Finite-temperature field theory', 'Chiral symmetries', 'Quark matter']"
33,33,Search for BSM physics,,"['Decays of taus', 'Leptonic, semileptonic, and radiative decays of mesons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Muons', 'Models beyond the standard model']","['Other gauge bosons', 'Decays of bottom mesons', 'Decays of K mesons', 'Limits on production of particles', 'Neutral currents']"
34,34,Lepton/Meson decay,cp violation,"['Decays of bottom mesons', 'Bottom mesons (|B|>0)', 'Decays of taus', 'Decays of charmed mesons', 'Decays of K mesons']","['Charge conjugation, parity, time reversal, and other discrete symmetries', 'Neutral currents', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Quark and lepton masses and mixing', 'Unification of couplings; mass relations']"
35,35,String theory,,"['Compactification and four-dimensional models', 'Nonlinear or nonlocal theories and models', 'Supergravity', 'Nonperturbative techniques; string field theory', 'Magnetic monopoles']","['D branes', 'Exact solutions', 'Extended classical solutions; cosmic strings, domain walls, texture', 'M theory', 'Strings and branes']"
36,36,States of matter,Supersymmetric gauge theories,"['Quark-gluon plasma', 'Gauge/string duality', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Higher-dimensional black holes, black strings, and related objects', 'Chiral symmetries']","['Gauge field theories', 'D branes', 'M theory', 'Nonperturbative techniques; string field theory', 'Supergravity']"
37,37,Theoretical jargon,,"['Foundations of quantum mechanics; measurement theory', 'Phenomenology of quantum gravity', 'Nonlinear or nonlocal theories and models', 'Integrable systems', 'Theory of quantized fields']","['Geometry, differential geometry, and topology', 'Algebraic methods', 'Quantum mechanics', 'Fundamental problems and general formalism', 'Solutions of wave equations: bound states']"
38,38,Measurements and analysis of colliders data,,"['Bottom mesons (|B|>0)', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of bottom mesons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Muons']","['Decays of J/ψ, Υ, and other quarkonia', 'Ordinary neutrinos', 'Decays of charmed mesons', 'Decays of charmed mesons', 'Solar neutrinos']"
39,39,M-theory,Phenomenological jargon ,"['Compactification and four-dimensional models', 'Supergravity', 'Strings and branes', 'Supersymmetry', 'D branes']","['Experimental tests of gravitational theories', 'Glueball and nonstandard multi-quark/gluon states', 'Loop quantum gravity, quantum geometry, spin foams', 'Exotic mesons', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)']"
40,40,Search for BSM physics,Lie algebra,"['Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Neutral currents', 'Muons', 'Decays of taus']","['Algebraic methods', 'Conformal field theory, algebraic structures', 'Noncommutative geometry', 'Geometry, differential geometry, and topology', 'Lattice theory and statistics']"
41,41,Dark matter in the universe,,"['Elementary particle processes', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Background radiations', 'Dark matter', 'Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)']","['Dark energy', 'Supersymmetric partners of known particles', 'Cosmology', 'Mathematical and relativistic aspects of cosmology', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)']"
42,42,Amplitudes and Feynman Diagram,,"['Integrable systems', 'General properties of perturbation theory', 'Regge theory, duality, absorptive/optical models', 'Lattice theory and statistics', 'Specific calculations']","['Properties of perturbation theory', 'Dispersion relations', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Conformal field theory, algebraic structures', 'Analytic properties of S matrix']"
43,43,cp violation,Experimental jargon,"['Neutral currents', 'Decays of K mesons', 'Neutrino mass and mixing', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Global symmetries (e.g., baryon number, lepton number)']","['Electromagnetic corrections to strong- and weak-interaction processes', 'Neutrino-induced reactions', 'Summation of perturbation theory', 'Nucleon-nucleon interactions', 'Baryons']"
44,44,Cross-sections in colliders,,"['Total cross sections', 'Particle and resonance production', 'Production', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Z bosons']","['Inelastic scattering: many-particle final states', 'Inclusive production with identified hadrons', 'Hadron-induced high- and super-high-energy interactions', 'Particle correlations and fluctuations', 'Jets in large-Q2 scattering']"
45,45,Superfields,,"['Nonlinear or nonlocal theories and models', 'Symmetry and conservation laws', 'Algebraic methods', 'Supersymmetry', 'Integrable systems']","['Supergravity', 'Conformal field theory, algebraic structures', 'M theory', 'Geometry, differential geometry, and topology', 'Lattice theory and statistics']"
46,46,Solar neutrinos,,"['Neutrino-induced reactions', 'Solar neutrinos', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Neutrino, muon, pion, and other elementary particles; cosmic rays']","['Ordinary neutrinos', 'Neutrino mass and mixing', 'Quark and lepton masses and mixing', 'Neutrino interactions', 'Flavor symmetries']"
47,47,Double-beta decay?,Systems energy and time-evolution,"['Charmed baryons (|C|>0, B=0)', 'Bottom baryons (|B|>0)', 'Hyperons', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Hadron mass models and calculations']","['Collective flow', 'Theory of quantized fields', 'Quark-gluon plasma', 'Foundations of quantum mechanics; measurement theory', 'Relativistic heavy-ion collisions']"
48,48,Amplitude of processes in colliders,Top quark,"['Hadronic decays', 'Pion-baryon interactions', 'Dispersion relations', 'Hyperons', 'Baryon resonances (S=C=B=0)']","['Extensions of electroweak gauge sector', 'Limits on production of particles', 'Decays of taus', 'Non-standard-model Higgs bosons', 'Neutral currents']"
49,49,Systems energy and time-evolution,,"['Finite-temperature field theory', 'Relativistic heavy-ion collisions', 'Collective flow', 'Hydrodynamic models', 'Quark-gluon plasma']","['Theory of quantized fields', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Experimental tests of gravitational theories', 'Entanglement and quantum nonlocality', 'Foundations of quantum mechanics; measurement theory']"
