,question,topic1,topic2,categories1,categories2
10,10,Quantum Field Theory,Holographic Principle,"['Canonical quantization', 'Foundations of quantum mechanics; measurement theory', 'Theory of quantized fields', 'Algebraic methods', 'Noncommutative geometry']","['Lattice theory and statistics', 'Conformal field theory, algebraic structures', 'Quantum aspects of black holes, evaporation, thermodynamics', 'Lower dimensional models; minisuperspace models', 'Entanglement and quantum nonlocality']"
11,11,Experiments on light,,"['Quantum electrodynamics', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Photons', 'Elastic and Compton scattering']","['Electromagnetic processes and properties', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Specific calculations', 'Photon and charged-lepton interactions with hadrons', 'Experimental tests of gravitational theories']"
12,12,Boundary conditions,,"['Spacetime topology, causal structure, spinor structure', 'Integrable systems', 'Conformal field theory, algebraic structures', 'Lattice theory and statistics', 'Entanglement and quantum nonlocality']","['Quantum mechanics', 'Canonical formalism, Lagrangians, and variational principles', 'Foundations of quantum mechanics; measurement theory', 'Theory of quantized fields', 'Algebraic methods']"
13,13,Cosmology and gravity,Amplitudes and Feynman Diagram,"['Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Cosmology', 'Modified theories of gravity', 'Dark energy', 'Lorentz and Poincaré invariance']","['Properties of perturbation theory', 'Specific calculations', 'Lattice theory and statistics', 'General properties of perturbation theory', 'Regge theory, duality, absorptive/optical models']"
14,14,Perturbative QCD,Space-time geometry and gravity,"['Summation of perturbation theory', 'Fragmentation into hadrons', 'General properties of perturbation theory', 'Quantum chromodynamics', 'Production']","['Exact solutions', 'Classical general relativity', 'Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields', 'Higher-dimensional gravity and other theories of gravity', 'Fundamental problems and general formalism']"
15,15,Lie algebra,Effective Field Theory,"['Noncommutative field theory', 'Integrable systems', 'Geometry, differential geometry, and topology', 'Loop quantum gravity, quantum geometry, spin foams', 'Other internal and higher symmetries']","['Lagrangian and Hamiltonian approach', 'D branes', 'Canonical quantization', 'Nonlinear or nonlocal theories and models', 'Gauge field theories']"
16,16,Annihilation and scattering cross-sections,,"['Total cross sections', 'Hadron production in e−e+ interactions', 'Baryon production', 'Meson production', 'Nucleon-nucleon interactions']","['Regge theory, duality, absorptive/optical models', 'Elastic and Compton scattering', 'Photon and charged-lepton interactions with hadrons', 'Baryon resonances (S=C=B=0)', 'Electromagnetic processes and properties']"
17,17,Space-time geometry and gravity,,"['Spacetime topology, causal structure, spinor structure', 'Fundamental problems and general formalism', 'Classical general relativity', 'Lower dimensional models; minisuperspace models', 'Exact solutions']","['Higher-dimensional black holes, black strings, and related objects', 'Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields', 'Higher-dimensional gravity and other theories of gravity', 'Classical black holes', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity']"
18,18,Heavy quarks and ions ,Instruments,"['Particle and resonance production', 'Hydrodynamic models', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions', 'Inclusive production with identified hadrons']","['Baryon production', 'Muons', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Experimental tests of gravitational theories', 'Neutrino interactions']"
19,19,Scattering of composite particles,,"['Protons and neutrons', 'Fragmentation into hadrons', 'Inelastic scattering: many-particle final states', 'Polarization in interactions and scattering', 'Photon and charged-lepton interactions with hadrons']","['Meson production', 'Inclusive production with identified hadrons', 'Elastic and Compton scattering', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Regge theory, duality, absorptive/optical models']"
20,20,Theoretical jargon,,"['Geometry, differential geometry, and topology', 'Theory of quantized fields', 'Quantum mechanics', 'Foundations of quantum mechanics; measurement theory', 'Integrable systems']","['Solutions of wave equations: bound states', 'Fundamental problems and general formalism', 'Algebraic methods', 'Phenomenology of quantum gravity', 'Nonlinear or nonlocal theories and models']"
21,21,Superfields,,"['Lattice theory and statistics', 'Supergravity', 'Conformal field theory, algebraic structures', 'Supersymmetry', 'Integrable systems']","['Algebraic methods', 'Symmetry and conservation laws', 'Geometry, differential geometry, and topology', 'M theory', 'Nonlinear or nonlocal theories and models']"
22,22,Systems energy and time-evolution,Search for BSM physics,"['Collective flow', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Experimental tests of gravitational theories', 'Finite-temperature field theory', 'Relativistic heavy-ion collisions']","['Decays of taus', 'Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Decays of K mesons']"
23,23,Dark matter in the universe,Higgs boson,"['Background radiations', 'Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Supersymmetric partners of known particles', 'Mathematical and relativistic aspects of cosmology']","['Other neutral Higgs bosons', 'Extensions of electroweak Higgs sector', 'Supersymmetric Higgs bosons', 'Limits on production of particles', 'Standard-model Higgs bosons']"
24,24,QCD,Instruments,"['Bottom baryons (|B|>0)', 'Other mesons with S=C=0, mass < 2.5 GeV', 'Hydrodynamic models', 'Heavy quark effective theory', 'Sum rules']","['Solar neutrinos', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Experimental tests of gravitational theories', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Baryon production']"
25,25,Events in colliders (final states),,"['Inelastic scattering: many-particle final states', 'Top quarks', 'Limits on production of particles', 'Experimental tests', 'Hadron-induced high- and super-high-energy interactions']","['Z bosons', 'Jets in large-Q2 scattering', 'Production', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'W bosons']"
26,26,Solar neutrinos,Lattice calculation techniques,"['Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Neutrino interactions', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Flavor symmetries', 'Neutrino mass and mixing']","['Lattice gauge theory', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'General properties of perturbation theory', 'Renormalization', 'Lattice theory and statistics']"
27,27,Double-beta decay?,Higgs beyond the SM,"['Baryons', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Bottom baryons (|B|>0)', 'Hyperons', 'Quark and lepton masses and mixing']","['Extensions of electroweak Higgs sector', 'Standard-model Higgs bosons', 'Supersymmetric partners of known particles', 'Electroweak radiative corrections', 'Other neutral Higgs bosons']"
28,28,Experimental jargon,,"['Neutrino-induced reactions', 'Electromagnetic corrections to strong- and weak-interaction processes', 'Ordinary neutrinos', 'Electroweak radiative corrections', 'Baryons']","['Inelastic scattering: many-particle final states', 'Solar neutrinos', 'Summation of perturbation theory', 'Decays of K mesons', 'Nucleon-nucleon interactions']"
29,29,Cosmological sources,,"['Phenomenology of quantum gravity', 'Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)', 'Origin and formation of the Universe', 'Background radiations', 'Neutrino, muon, pion, and other elementary particles; cosmic rays']","['Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Dark energy', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Quantum cosmology', 'Cosmology']"
30,30,Production of particles in colliders,Scattering of composite particles,"['Jets in large-Q2 scattering', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Hadron-induced high- and super-high-energy interactions', 'Particle correlations and fluctuations', 'Particle and resonance production']","['Regge theory, duality, absorptive/optical models', 'Protons and neutrons', 'Inelastic scattering: many-particle final states', 'Elastic and Compton scattering', 'Inclusive production with identified hadrons']"
31,31,M-theory,,"['D branes', 'Supergravity', 'Supersymmetry', 'Gauge field theories', 'Compactification and four-dimensional models']","['Geometry, differential geometry, and topology', 'M theory', 'Properties of perturbation theory', 'Nonperturbative techniques; string field theory', 'Strings and branes']"
32,32,Effective Field Theory,,"['D branes', 'Nonlinear or nonlocal theories and models', 'Noncommutative field theory', 'Nonperturbative techniques; string field theory', 'Canonical quantization']","['Noncommutative geometry', 'Gauge field theories', 'Lagrangian and Hamiltonian approach', 'Field theory', 'Quantum mechanics']"
33,33,Dark matter in the universe,,"['Dark energy', 'Cosmology', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Supersymmetric partners of known particles']","['Background radiations', 'Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)', 'Mathematical and relativistic aspects of cosmology', 'Elementary particle processes', 'Dark matter']"
34,34,Quantum Systems and Equations of motion,,"['Integrable systems', 'Relativistic wave equations', 'Lagrangian and Hamiltonian approach', 'Canonical formalism, Lagrangians, and variational principles', 'Algebraic methods']","['Nonlinear or nonlocal theories and models', 'Magnetic monopoles', 'Canonical quantization', 'Quantum mechanics', 'Solutions of wave equations: bound states']"
35,35,Top quark,,"['Non-standard-model Higgs bosons', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Limits on production of particles', 'Standard-model Higgs bosons', 'Other neutral Higgs bosons']","['Other gauge bosons', 'Top quarks', 'Decays of taus', 'Neutral currents', 'Extensions of electroweak gauge sector']"
36,36,Measurements and results from colliders,,"['Decays of charmed mesons', 'Baryon resonances (S=C=B=0)', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Hadronic decays', 'Pion-baryon interactions']","['Decays of charmed mesons', 'Muons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Meson production', 'Neutrino-induced reactions']"
37,37,Theoretical jargon,,"['Nonlinear or nonlocal theories and models', 'Solutions of wave equations: bound states', 'Foundations of quantum mechanics; measurement theory', 'Algebraic methods', 'Phenomenology of quantum gravity']","['Quantum mechanics', 'Theory of quantized fields', 'Integrable systems', 'Fundamental problems and general formalism', 'Geometry, differential geometry, and topology']"
38,38,Search for BSM physics,Measurements and results from colliders,"['Neutral currents', 'Decays of bottom mesons', 'Models beyond the standard model', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Decays of taus']","['Decays of charmed mesons', 'Hadronic decays', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of charmed mesons', 'Baryon resonances (S=C=B=0)']"
39,39,Theoretical jargon,Loops and next order expansions in Feynman Diagrams,"['Integrable systems', 'Nonlinear or nonlocal theories and models', 'Geometry, differential geometry, and topology', 'Fundamental problems and general formalism', 'Theory of quantized fields']","['Properties of perturbation theory', 'Electroweak radiative corrections', 'General properties of perturbation theory', 'Specific calculations', 'Summation of perturbation theory']"
40,40,Measurements and analysis of colliders data,Thermodynamics,"['Decays of charmed mesons', 'Ordinary neutrinos', 'Decays of J/ψ, Υ, and other quarkonia', 'Muons', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors']","['Relativistic heavy-ion collisions', 'Quark matter', 'Spontaneous and radiative symmetry breaking', 'Lattice gauge theory', 'Finite-temperature field theory']"
41,41,Partons distributions,,"['Production', 'Jets in large-Q2 scattering', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Photon and charged-lepton interactions with hadrons', 'Factorization']","['Inclusive production with identified hadrons', 'Summation of perturbation theory', 'Polarization in interactions and scattering', 'Perturbative calculations', 'Fragmentation into hadrons']"
42,42,Quantum Systems and Equations of motion,Gauge Theory,"['Lagrangian and Hamiltonian approach', 'Magnetic monopoles', 'Canonical quantization', 'Relativistic wave equations', 'Integrable systems']","['Gauge field theories', 'Canonical formalism, Lagrangians, and variational principles', 'Other internal and higher symmetries', 'General properties of perturbation theory', 'Lorentz and Poincaré invariance']"
43,43,M-theory,Renormalization,"['D branes', 'Strings and branes', 'Nonperturbative techniques; string field theory', 'Compactification and four-dimensional models', 'M theory']","['Other nonperturbative techniques', 'Unification of couplings; mass relations', 'General properties of perturbation theory', 'Gluons', 'Technicolor models']"
44,44,Systems energy and time-evolution,Meson phenomenology,"['Finite-temperature field theory', 'Entanglement and quantum nonlocality', 'Collective flow', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Quark-gluon plasma']","['Decays of other mesons', 'Glueball and nonstandard multi-quark/gluon states', 'Other mesons with S=C=0, mass < 2.5 GeV', 'Potential models', 'Hadron mass models and calculations']"
45,45,Gauge symmetries/symmetry breaking/GUTs,Dark matter in the universe,"['Spontaneous and radiative symmetry breaking', 'Unified field theories and models', 'Unification of couplings; mass relations', 'Spontaneous breaking of gauge symmetries', 'Other internal and higher symmetries']","['Mathematical and relativistic aspects of cosmology', 'Background radiations', 'Supersymmetric partners of known particles', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Elementary particle processes']"
46,46,Lie algebra,Lattice calculation techniques,"['Algebraic methods', 'Geometry, differential geometry, and topology', 'Noncommutative field theory', 'Conformal field theory, algebraic structures', 'Noncommutative geometry']","['Lattice theory and statistics', 'Lattice QCD calculations', 'Chiral symmetries', 'Lattice gauge theory', 'General properties of perturbation theory']"
47,47,Loops and next order expansions in Feynman Diagrams,Theoretical jargon,"['Perturbative calculations', 'Electroweak radiative corrections', 'General properties of perturbation theory', 'Properties of perturbation theory', 'Quantum electrodynamics']","['Quantum mechanics', 'Theory of quantized fields', 'Geometry, differential geometry, and topology', 'Integrable systems', 'Algebraic methods']"
48,48,Boundary conditions,Electromagnetism,"['Integrable systems', 'Entanglement and quantum nonlocality', 'Conformal field theory, algebraic structures', 'Quantum mechanics', 'Canonical formalism, Lagrangians, and variational principles']","['Specific calculations', 'Quark-gluon plasma', 'Collective flow', 'Particle correlations and fluctuations', 'Relativistic wave equations']"
49,49,Black holes,,"['Lower dimensional models; minisuperspace models', 'Classical general relativity', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity', 'Higher-dimensional black holes, black strings, and related objects', 'Quantum aspects of black holes, evaporation, thermodynamics']","['Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields', 'Physics of black holes', 'Black holes', 'Exact solutions', 'Classical black holes']"
