,question,topic1,topic2,categories1,categories2
10,10,Higgs beyond the SM,Effective Field Theory,"['Supersymmetric partners of known particles', 'Other neutral Higgs bosons', 'Limits on production of particles', 'Non-standard-model Higgs bosons', 'Standard-model Higgs bosons']","['Field theory', 'Noncommutative field theory', 'Gauge field theories', 'Nonlinear or nonlocal theories and models', 'Canonical quantization']"
11,11,Annihilation and scattering cross-sections,Superfields,"['Regge theory, duality, absorptive/optical models', 'Electromagnetic processes and properties', 'Hadron production in e−e+ interactions', 'Baryon resonances (S=C=B=0)', 'Meson production']","['Lattice theory and statistics', 'Supergravity', 'M theory', 'Symmetry and conservation laws', 'Geometry, differential geometry, and topology']"
12,12,Electromagnetism,Double-beta decay?,"['Quark-gluon plasma', 'Particle correlations and fluctuations', 'Collective flow', 'Relativistic heavy-ion collisions', 'Quantum electrodynamics']","['Global symmetries (e.g., baryon number, lepton number)', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Hadron mass models and calculations', 'Bottom baryons (|B|>0)', 'Glueball and nonstandard multi-quark/gluon states']"
13,13,Higgs boson,,"['Unification of couplings; mass relations', 'Other neutral Higgs bosons', 'Extensions of electroweak gauge sector', 'Limits on production of particles', 'Extensions of electroweak Higgs sector']","['Other gauge bosons', 'Supersymmetric models', 'Standard-model Higgs bosons', 'Non-standard-model Higgs bosons', 'Supersymmetric Higgs bosons']"
14,14,Lie algebra,Spin/angular momentum/polarization,"['Quantum mechanics', 'Other internal and higher symmetries', 'Noncommutative geometry', 'Lattice theory and statistics', 'Noncommutative field theory']","['Meson production', 'Inclusive production with identified hadrons', 'Baryon production', 'Photon and charged-lepton interactions with hadrons', 'Total and inclusive cross sections (including deep-inelastic processes)']"
15,15,Theoretical jargon,Systems energy and time-evolution,"['Foundations of quantum mechanics; measurement theory', 'Algebraic methods', 'Integrable systems', 'Geometry, differential geometry, and topology', 'Nonlinear or nonlocal theories and models']","['Theory of quantized fields', 'Quark-gluon plasma', 'Hydrodynamic models', 'Relativistic heavy-ion collisions', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']"
16,16,Holographic Principle,Phenomenological jargon ,"['Quantum aspects of black holes, evaporation, thermodynamics', 'D branes', 'Lower dimensional models; minisuperspace models', 'Conformal field theory, algebraic structures', 'Strings and branes']","['Loop quantum gravity, quantum geometry, spin foams', 'Glueball and nonstandard multi-quark/gluon states', 'Potential models', 'Phenomenology of quantum gravity', 'Phenomenological quark models']"
17,17,Amplitude of processes in colliders,,"['Hadronic decays', 'Hyperons', 'Decays of other mesons', 'Nucleon-nucleon interactions', 'Exotic mesons']","['Pion-baryon interactions', 'Meson-meson interactions', 'Baryon resonances (S=C=B=0)', 'Dispersion relations', 'Meson production']"
18,18,Phenomenological jargon ,Lattice calculation techniques,"['Exotic mesons', 'Phenomenological quark models', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Loop quantum gravity, quantum geometry, spin foams']","['Lattice gauge theory', 'Properties of perturbation theory', 'Lattice theory and statistics', 'Algebraic methods', 'Lattice QCD calculations']"
19,19,Amplitudes and Feynman Diagram,,"['Dispersion relations', 'General properties of perturbation theory', 'Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Analytic properties of S matrix', 'Properties of perturbation theory']","['Specific calculations', 'Conformal field theory, algebraic structures', 'Regge theory, duality, absorptive/optical models', 'Lattice theory and statistics', 'Integrable systems']"
20,20,Theoretical jargon,Phenomenological jargon ,"['Solutions of wave equations: bound states', 'Foundations of quantum mechanics; measurement theory', 'Quantum mechanics', 'Phenomenology of quantum gravity', 'Nonlinear or nonlocal theories and models']","['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Phenomenological quark models', 'Experimental tests of gravitational theories', 'Exotic mesons']"
21,21,Events in colliders (final states),M-theory,"['Hadron-induced high- and super-high-energy interactions', 'Z bosons', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Top quarks', 'W bosons']","['Gauge field theories', 'Geometry, differential geometry, and topology', 'Supersymmetry', 'D branes', 'Compactification and four-dimensional models']"
22,22,Electromagnetism,,"['Quark-gluon plasma', 'Particle correlations and fluctuations', 'Quantum electrodynamics', 'Relativistic wave equations', 'Hydrodynamic models']","['Relativistic heavy-ion collisions', 'Collective flow', 'Specific calculations', 'Electric and magnetic moments', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']"
23,23,Conformal Field Theory,Decay measurements,"['Lattice theory and statistics', 'M theory', 'Nonperturbative techniques; string field theory', 'Noncommutative geometry', 'Integrable systems']","['Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Decays of J/ψ, Υ, and other quarkonia', 'Decays of charmed mesons', 'Bottom mesons (|B|>0)', 'Decays of J/ψ, Υ, and other quarkonia']"
24,24,Susy phenomenology and superpartners,,"['Supersymmetry', 'Non-standard-model Higgs bosons', 'Supersymmetric models', 'Unification of couplings; mass relations', 'Electroweak radiative corrections']","['Unified theories and models of strong and electroweak interactions', 'Supersymmetric Higgs bosons', 'Supersymmetric partners of known particles', 'Dark matter', 'Elementary particle processes']"
25,25,Gauge Theory,Events in colliders (final states),"['Geometry, differential geometry, and topology', 'Canonical quantization', 'Gauge field theories', 'Canonical formalism, Lagrangians, and variational principles', 'General properties of perturbation theory']","['W bosons', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Hadron-induced high- and super-high-energy interactions', 'Limits on production of particles', 'Inelastic scattering: many-particle final states']"
26,26,Renormalization,,"['Unification of couplings; mass relations', 'General properties of perturbation theory', 'Gluons', 'Renormalization group evolution of parameters', 'Quantum gravity']","['Renormalization', 'Collective flow', 'Technicolor models', 'Other nonperturbative techniques', 'Properties of perturbation theory']"
27,27,Higgs boson,,"['Other gauge bosons', 'Non-standard-model Higgs bosons', 'Extensions of electroweak gauge sector', 'Limits on production of particles', 'Supersymmetric Higgs bosons']","['Other neutral Higgs bosons', 'Unification of couplings; mass relations', 'Standard-model Higgs bosons', 'Extensions of electroweak Higgs sector', 'Supersymmetric models']"
28,28,Phenomenological jargon ,,"['Exotic mesons', 'Experimental tests of gravitational theories', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Glueball and nonstandard multi-quark/gluon states', 'Phenomenology of quantum gravity']","['Phenomenological quark models', 'Potential models', 'Loop quantum gravity, quantum geometry, spin foams', 'Foundations of quantum mechanics; measurement theory', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)']"
29,29,Stars physics,,"['Quark-gluon plasma', 'Quark matter', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions', 'Hydrodynamic models']","['Particle and resonance production', 'Particle correlations and fluctuations', 'Collective flow', 'Phenomenology of quantum gravity', 'Quarks, gluons, and QCD in nuclear reactions']"
30,30,Spin/angular momentum/polarization,,"['Fragmentation into hadrons', 'Inclusive production with identified hadrons', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Photon and charged-lepton interactions with hadrons', 'Protons and neutrons']","['Elastic and Compton scattering', 'Polarization in interactions and scattering', 'Electromagnetic processes and properties', 'Meson production', 'Baryon production']"
31,31,Quantum Field Theory,,"['Loop quantum gravity, quantum geometry, spin foams', 'Foundations of quantum mechanics; measurement theory', 'Algebraic methods', 'Theory of quantized fields', 'Canonical quantization']","['Quantum mechanics', 'Integrable systems', 'Noncommutative geometry', 'Relativistic wave equations', 'Solutions of wave equations: bound states']"
32,32,Systems energy and time-evolution,,"['Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Entanglement and quantum nonlocality', 'Collective flow', 'Foundations of quantum mechanics; measurement theory', 'Relativistic heavy-ion collisions']","['Finite-temperature field theory', 'Theory of quantized fields', 'Quark-gluon plasma', 'Experimental tests of gravitational theories', 'Hydrodynamic models']"
33,33,Events in colliders (final states),M-theory,"['Production', 'Jets in large-Q2 scattering', 'Limits on production of particles', 'Inelastic scattering: many-particle final states', 'Experimental tests']","['Properties of perturbation theory', 'D branes', 'Nonperturbative techniques; string field theory', 'Gauge field theories', 'Supergravity']"
34,34,Loops and next order expansions in Feynman Diagrams,,"['Electromagnetic corrections to strong- and weak-interaction processes', 'Perturbative calculations', 'Properties of perturbation theory', 'Electroweak radiative corrections', 'Quantum electrodynamics']","['Specific calculations', 'General properties of perturbation theory', 'Summation of perturbation theory', 'Renormalization', 'Photons']"
35,35,Events in colliders (kinematics),Effective Field Theory,"['Production', 'Top quarks', 'Hadron-induced high- and super-high-energy interactions', 'W bosons', 'Z bosons']","['Noncommutative geometry', 'Canonical quantization', 'Gauge field theories', 'Nonperturbative techniques; string field theory', 'D branes']"
36,36,States of matter,,"['Lattice theory and statistics', 'Quark-gluon plasma', 'Finite-temperature field theory', 'Classical black holes', 'Entanglement and quantum nonlocality']","['Chiral symmetries', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Higher-dimensional black holes, black strings, and related objects', 'Quark matter', 'Gauge/string duality']"
37,37,Chirality and hadronic matter ,,"['Quark matter', 'Relativistic quark model', 'Chiral symmetries', 'Other models for strong interactions', 'Light quarks']","['Quark deconfinement, quark-gluon plasma production, and phase transitions', 'General properties of QCD (dynamics, confinement, etc.)', 'Chiral Lagrangians', 'Lattice gauge theory', 'Lattice QCD calculations']"
38,38,Heavy quarks and ions ,,"['Relativistic heavy-ion collisions', 'Fragmentation into hadrons', 'Particle and resonance production', 'Charmed baryons (|C|>0, B=0)', 'Collective flow']","['Particle correlations and fluctuations', 'Quarks, gluons, and QCD in nuclear reactions', 'Inclusive production with identified hadrons', 'Hydrodynamic models', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']"
39,39,Scattering of composite particles,Dark matter direct detection and WIMPs,"['Elastic and Compton scattering', 'Meson production', 'Inclusive production with identified hadrons', 'Regge theory, duality, absorptive/optical models', 'Total and inclusive cross sections (including deep-inelastic processes)']","['Dark matter', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Other particles (including hypothetical)', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Background radiations']"
40,40,Superfields,,"['Lattice theory and statistics', 'Nonlinear or nonlocal theories and models', 'Geometry, differential geometry, and topology', 'Conformal field theory, algebraic structures', 'Integrable systems']","['Symmetry and conservation laws', 'M theory', 'Supergravity', 'Algebraic methods', 'Supersymmetry']"
41,41,Quantum Field Theory,,"['Canonical quantization', 'Foundations of quantum mechanics; measurement theory', 'Noncommutative geometry', 'Theory of quantized fields', 'Algebraic methods']","['Quantum mechanics', 'Relativistic wave equations', 'Loop quantum gravity, quantum geometry, spin foams', 'Integrable systems', 'Solutions of wave equations: bound states']"
42,42,Susy phenomenology and superpartners,,"['Supersymmetric partners of known particles', 'Supersymmetric models', 'Non-standard-model Higgs bosons', 'Unified theories and models of strong and electroweak interactions', 'Elementary particle processes']","['Dark matter', 'Supersymmetry', 'Supersymmetric Higgs bosons', 'Unification of couplings; mass relations', 'Electroweak radiative corrections']"
43,43,Superfields,Electromagnetism,"['Supergravity', 'Algebraic methods', 'Supersymmetry', 'Nonlinear or nonlocal theories and models', 'M theory']","['Hydrodynamic models', 'Quark-gluon plasma', 'Quantum electrodynamics', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions']"
44,44,Thermodynamics,Top quark,"['Other models for strong interactions', 'Spontaneous and radiative symmetry breaking', 'General properties of QCD (dynamics, confinement, etc.)', 'Lattice gauge theory', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']","['Top quarks', 'Other gauge bosons', 'Inclusive production with identified leptons, photons, or other nonhadronic particles', 'Other neutral Higgs bosons', 'Limits on production of particles']"
45,45,Neutrino physics,Lie algebra,"['Neutrino-induced reactions', 'Quark and lepton masses and mixing', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Global symmetries (e.g., baryon number, lepton number)']","['Noncommutative geometry', 'Noncommutative field theory', 'Quantum mechanics', 'Algebraic methods', 'Geometry, differential geometry, and topology']"
46,46,Algorithms and calculation techniques,Quantum Systems and Equations of motion,"['Lattice gauge theory', 'Fragmentation into hadrons', 'Lattice QCD calculations', 'Gluons', 'Collective flow']","['Lagrangian and Hamiltonian approach', 'Canonical formalism, Lagrangians, and variational principles', 'Integrable systems', 'Magnetic monopoles', 'Solutions of wave equations: bound states']"
47,47,Algorithms and calculation techniques,,"['Lattice QCD calculations', 'Lattice theory and statistics', 'Lattice gauge theory', 'Fragmentation into hadrons', 'Collective flow']","['Inelastic scattering: many-particle final states', 'Particle correlations and fluctuations', 'Light quarks', 'Jets in large-Q2 scattering', 'Gluons']"
48,48,Boundary conditions,,"['Theory of quantized fields', 'Algebraic methods', 'Lattice theory and statistics', 'Integrable systems', 'Spacetime topology, causal structure, spinor structure']","['Entanglement and quantum nonlocality', 'Quantum mechanics', 'Foundations of quantum mechanics; measurement theory', 'Conformal field theory, algebraic structures', 'Canonical formalism, Lagrangians, and variational principles']"
49,49,QCD,Early-universe and other cosmological data,"['Hydrodynamic models', 'Charmed baryons (|C|>0, B=0)', 'Other nonperturbative calculations', 'Decays of other mesons', 'Other mesons with S=C=0, mass < 2.5 GeV']","['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Dark matter', 'Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors']"
